measure,precision,recall,f1-score,support,Fold
2,0.17,0.30,0.21,120,Fold0
1,0.73,0.59,0.65,630,Fold0
0,0.73,0.76,0.75,559,Fold0
macro_avg,0.54,0.55,0.54,1309,Fold0
weighted_avg,0.68,0.64,0.65,1309,Fold0
accuracy,,,0.64,1309,Fold0
2,0.20,0.29,0.24,120,Fold1
1,0.74,0.65,0.69,630,Fold1
0,0.76,0.79,0.77,559,Fold1
macro_avg,0.57,0.58,0.57,1309,Fold1
weighted_avg,0.70,0.68,0.69,1309,Fold1
accuracy,,,0.68,1309,Fold1
2,0.27,0.32,0.29,120,Fold2
1,0.74,0.70,0.72,630,Fold2
0,0.79,0.80,0.79,559,Fold2
macro_avg,0.60,0.61,0.60,1309,Fold2
weighted_avg,0.72,0.71,0.71,1309,Fold2
accuracy,,,0.71,1309,Fold2
2,0.23,0.26,0.24,120,Fold3
1,0.80,0.69,0.74,630,Fold3
0,0.78,0.88,0.83,559,Fold3
macro_avg,0.60,0.61,0.60,1309,Fold3
weighted_avg,0.74,0.73,0.73,1309,Fold3
accuracy,,,0.73,1309,Fold3
2,0.34,0.37,0.35,120,Fold4
1,0.81,0.72,0.76,630,Fold4
0,0.79,0.88,0.83,559,Fold4
macro_avg,0.65,0.65,0.65,1309,Fold4
weighted_avg,0.76,0.75,0.75,1309,Fold4
accuracy,,,0.75,1309,Fold4
2,0.31,0.31,0.31,120,Fold5
1,0.79,0.76,0.77,630,Fold5
0,0.82,0.86,0.84,559,Fold5
macro_avg,0.64,0.64,0.64,1309,Fold5
weighted_avg,0.76,0.76,0.76,1309,Fold5
accuracy,,,0.76,1309,Fold5
2,0.31,0.26,0.28,120,Fold6
1,0.80,0.79,0.79,630,Fold6
0,0.84,0.88,0.86,559,Fold6
macro_avg,0.65,0.64,0.64,1309,Fold6
weighted_avg,0.77,0.78,0.77,1309,Fold6
accuracy,,,0.78,1309,Fold6
2,0.35,0.33,0.34,120,Fold7
1,0.81,0.77,0.79,630,Fold7
0,0.83,0.88,0.85,559,Fold7
macro_avg,0.66,0.66,0.66,1309,Fold7
weighted_avg,0.77,0.78,0.77,1309,Fold7
accuracy,,,0.78,1309,Fold7
2,0.41,0.37,0.39,120,Fold8
1,0.80,0.78,0.79,630,Fold8
0,0.84,0.88,0.86,559,Fold8
macro_avg,0.68,0.67,0.68,1309,Fold8
weighted_avg,0.78,0.78,0.78,1309,Fold8
accuracy,,,0.78,1309,Fold8
2,0.36,0.33,0.34,120,Fold9
1,0.80,0.82,0.81,630,Fold9
0,0.87,0.86,0.87,559,Fold9
macro_avg,0.68,0.67,0.67,1309,Fold9
weighted_avg,0.79,0.79,0.79,1309,Fold9
accuracy,,,0.79,1309,Fold9
